    pgc |       ra |      dec |       gl |       gb |      sgl |      sgb |    Vhel |     Vls |    d25 |  b_a |         pa |         ty |                       type | sdss | alfa100 | QA_sdss | QA_wise |    ebv |   u_mag |   g_mag |   r_mag |   i_mag |   z_mag | u_Rasy | g_Rasy | r_Rasy | i_Rasy | z_Rasy |   A_u |   A_g |   A_r |   A_i |   A_z |  Sba |    Spa | mu0_u | mu0_g | mu0_r | mu0_i | mu0_z | mu50_u | mu50_g | mu50_r | mu50_i | mu50_z | mu90_u | mu90_g | mu90_r | mu90_i | mu90_z | m255_u | m255_g | m255_r | m255_i | m255_z | disc_mu0_u | disc_mu0_g | disc_mu0_r | disc_mu0_i | disc_mu0_z |   h_u |   h_g |   h_r |   h_i |    h_z | R50_u | R50_g | R50_r | R50_i | R50_z | R90_u | R90_g | R90_r | R90_i | R90_z | R255_u | R255_g | R255_r | R255_i | R255_z | C82_u | C82_g | C82_r | C82_i | C82_z | d_m_ext_u | d_m_ext_g | d_m_ext_r | d_m_ext_i | d_m_ext_z |  w1_mag |  w2_mag | w1_Rasy | w2_Rasy |  A_w1 |  A_w2 |  Wba |    Wpa | mu0_w1 | mu0_w2 | mu50_w1 | mu50_w2 | mu90_w1 | mu90_w2 | m255_w1 | m255_w2 | disc_mu0_w1 | disc_mu0_w2 |  h_w1 |  h_w2 | R50_w1 | R50_w2 | R90_w1 | R90_w2 | R255_w1 | R255_w2 | C82_w1 | C82_w2 | d_m_ext_w1 | d_m_ext_w2 | Sqlt | Wqlt | dst | trl | nsp | fon | fnt | cwd | ovm | fov | mlp | bts | unc |                                                                                                 note | inc | inc_e | inc_flg | inc_n |                                                                                             inc_note
      2 |   0.0070 |  47.2745 | 113.9553 | -14.6992 | 341.6440 |  20.7388 |  5017.0 |  5309.5 |   1.86 | 0.63 |      163.0 |        3.1 |                    Sb      |    0 |       0 |       0 |       1 |  0.000 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |    0.0000 |    0.0000 |    0.0000 |    0.0000 |    0.0000 |   11.86 |   12.49 |    2.20 |    2.30 | 0.023 | 0.018 | 0.66 | 160.50 |  19.73 |  20.29 |   21.34 |   21.92 |   23.34 |   24.04 |   11.89 |   12.53 |       18.90 |       19.79 |  0.26 |  0.28 |   0.51 |   0.51 |   1.09 |   1.09 |    1.51 |    1.37 |   3.54 |   3.48 |    -0.0177 |    -0.0358 |    0 |    5 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  52 |     4 |       0 |     5 |                                                                                                     
      4 |   0.0146 |  23.0876 | 107.8322 | -38.2729 | 316.0587 |  18.4514 |  4458.0 |  4706.1 |   0.85 | 0.22 |       63.2 |        5.0 |              Sc            |    1 |       1 |       1 |       1 |  0.091 |   17.61 |   16.43 |   15.91 |   15.57 |   15.40 |   1.50 |   1.20 |   0.90 |   1.05 |   0.95 | 0.398 | 0.303 | 0.212 | 0.157 | 0.117 | 0.24 |  60.30 | 23.18 | 22.23 | 21.07 | 20.80 | 21.76 |  24.21 |  22.88 |  22.25 |  22.08 |  22.12 |  26.18 |  24.52 |  24.13 |  24.35 |  24.48 |  17.84 |  16.48 |  15.95 |  15.61 |  15.39 |      22.21 |      20.47 |      20.01 |      19.99 |      19.09 |  0.14 |  0.11 |  0.11 |  0.12 |   0.10 |  0.25 |  0.23 |  0.21 |  0.23 |  0.27 |  0.50 |  0.43 |  0.43 |  0.48 |  0.57 |   0.41 |   0.50 |   0.54 |   0.61 |   0.69 |  2.80 |  2.68 |  3.00 |  3.14 |  2.68 |   -0.2359 |   -0.0610 |   -0.0428 |   -0.0422 |   -0.0207 |   16.06 |   16.42 |    0.70 |    1.52 | 0.017 | 0.014 | 0.33 |  59.10 |  21.70 |  22.39 |   23.19 |   24.19 |   24.73 |   25.94 |   16.08 |   16.56 |       21.16 |       22.21 |  0.14 |  0.18 |   0.27 |   0.33 |   0.57 |   0.68 |    0.65 |    0.64 |   3.35 |   3.34 |    -0.1045 |    -0.2343 |    5 |    4 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  85 |     2 |       0 |     7 |                                                                                                     
     12 |   0.0358 |  -6.3739 |  90.1920 | -65.9300 | 286.4249 |  11.3511 |  6531.0 |  6667.6 |   1.41 | 0.22 |      168.2 |        1.3 |              Sa            |    1 |       0 |       1 |       1 |  0.046 |   19.33 |   16.49 |   19.15 | -100.00 |   15.26 |   0.55 |   2.00 |   1.65 |   2.04 |   2.00 | 0.198 | 0.151 | 0.106 | 0.078 | 0.058 | 0.22 | 168.20 |  0.00 |  0.00 |  0.00 | 23.82 |  0.00 |  26.75 |  23.99 |  28.32 |   0.00 |  23.57 |  26.09 |  24.99 |  27.32 |   0.00 |  23.47 |   0.00 |  16.57 |   0.00 |   0.00 |  20.62 |      -9.99 |      12.64 |      -9.99 |      -9.99 |      11.24 | -9.99 |  0.12 | -9.99 | -9.99 |   0.12 |  0.43 |  1.24 |  1.38 | -0.02 |  1.40 |  0.53 |  1.33 |  1.49 | -0.02 |  1.49 |  -0.17 |   1.35 |  -0.17 |  -0.17 |   0.45 |  1.87 |  1.08 |  1.80 |  1.00 |  1.14 |   -9.9900 |   -0.0001 |   -9.9900 |   -9.9900 |   -0.0000 |   13.60 |   14.20 |    1.90 |    1.80 | 0.009 | 0.007 | 0.36 | 167.80 |  19.41 |  20.06 |   20.47 |   21.04 |   23.03 |   23.59 |   13.62 |   14.24 |       18.52 |       18.67 |  0.13 |  0.12 |   0.25 |   0.25 |   0.54 |   0.53 |    0.87 |    0.75 |   2.80 |   2.74 |    -0.0131 |    -0.0148 |    0 |    5 |     |     |     |     |     |     |     |     |     |     |   U |                                                           there is nothing available in the image!!! |  82 |     3 |       0 |     9 |                                                                                                     
     16 |   0.0471 |  -5.1588 |  91.6005 | -64.8656 | 287.6119 |  11.7030 |  5713.0 |  5855.1 |   0.93 | 0.49 |       38.5 |       -0.1 |            S0-a            |    1 |       0 |       1 |       1 |  0.031 |   16.12 |   14.83 |   14.21 |   13.86 |   13.59 |   0.90 |   1.10 |   1.00 |   1.50 |   1.25 | 0.137 | 0.104 | 0.073 | 0.054 | 0.040 | 0.52 |  36.10 | 22.45 | 20.59 | 19.65 | 19.21 | 18.93 |  23.12 |  21.78 |  21.05 |  20.72 |  20.47 |  25.73 |  23.61 |  22.87 |  22.66 |  22.69 |  16.25 |  14.86 |  14.22 |  13.87 |  13.62 |      20.20 |      18.81 |      18.30 |      18.11 |      17.89 |  0.09 |  0.09 |  0.09 |  0.09 |   0.09 |  0.22 |  0.21 |  0.19 |  0.19 |  0.19 |  0.45 |  0.39 |  0.37 |  0.38 |  0.40 |   0.42 |   0.52 |   0.55 |   0.60 |   0.62 |  2.57 |  2.68 |  2.78 |  2.91 |  3.00 |   -0.0494 |   -0.0165 |   -0.0110 |   -0.0094 |   -0.0079 |   13.98 |   14.67 |    1.20 |    1.30 | 0.006 | 0.005 | 0.64 |  38.00 |  19.89 |  20.58 |   21.02 |   21.58 |   23.64 |   23.42 |   14.04 |   14.70 |       18.18 |       19.29 |  0.09 |  0.10 |   0.21 |   0.20 |   0.46 |   0.39 |    0.61 |    0.54 |   2.90 |   2.66 |    -0.0100 |    -0.0241 |    5 |    5 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  65 |     4 |       0 |     8 |                                                                                                     
     18 |   0.0540 |  46.9651 | 113.9223 | -15.0086 | 341.3139 |  20.7013 |  5366.0 |  5658.1 |   0.95 | 0.72 |       23.5 |        2.0 |                  SBab      |    0 |       0 |       0 |       1 |  0.000 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |    0.0000 |    0.0000 |    0.0000 |    0.0000 |    0.0000 |   13.11 |   13.62 |    1.40 |    1.50 | 0.023 | 0.018 | 0.77 |  24.40 |  18.71 |  19.14 |   20.43 |   20.97 |   22.92 |   23.63 |   13.12 |   13.64 |       18.63 |       19.50 |  0.12 |  0.13 |   0.20 |   0.20 |   0.48 |   0.50 |    0.80 |    0.76 |   3.59 |   3.79 |    -0.0143 |    -0.0286 |    0 |    5 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  47 |     6 |       0 |     4 |                                                                                                     
     55 |   0.1558 |  33.6009 | 110.9496 | -28.0857 | 327.0996 |  19.7763 |  4779.0 |  5052.2 |   0.78 | 0.30 |       11.2 |        5.9 |              Sc            |    1 |       0 |       1 |       1 |  0.050 |   16.86 |   16.08 |   15.71 |   15.50 |   15.38 |   1.10 |   0.90 |   1.20 |   1.60 |   1.05 | 0.219 | 0.167 | 0.117 | 0.087 | 0.064 | 0.32 |  11.20 | 22.91 | 21.66 | 21.24 | 20.98 | 20.83 |  24.16 |  22.91 |  22.50 |  22.30 |  22.08 |  27.55 |  24.80 |  24.51 |  24.42 |  24.62 |  17.13 |  16.13 |  15.76 |  15.56 |  15.43 |      21.44 |      20.93 |      20.29 |      20.12 |      19.95 |  0.11 |  0.13 |  0.12 |  0.12 |   0.11 |  0.28 |  0.23 |  0.23 |  0.22 |  0.22 |  0.71 |  0.46 |  0.46 |  0.47 |  0.47 |   0.47 |   0.53 |   0.55 |   0.57 |   0.60 |  3.35 |  3.00 |  3.07 |  3.16 |  3.15 |   -0.1301 |   -0.0875 |   -0.0530 |   -0.0464 |   -0.0407 |   16.18 |   16.60 |    1.21 |    1.00 | 0.010 | 0.008 | 0.46 |  13.80 |  22.04 |  22.50 |   23.02 |   23.94 |   24.56 |   26.07 |   16.23 |   16.79 |       20.93 |       22.41 |  0.12 |  0.19 |   0.22 |   0.26 |   0.41 |   0.58 |    0.48 |    0.46 |   2.62 |   2.76 |    -0.0875 |    -0.2751 |    5 |    4 |     |     |     |     |     |     |     |     |     |   B |     |                                                                                                      |  80 |     3 |       0 |     8 |                                                                                                     
     68 |   0.2304 | -18.9589 |  65.4189 | -75.8101 | 274.3903 |   7.1770 |  7664.0 |  7739.8 |   0.78 | 0.59 |       27.2 |        2.0 |             Sab            |    1 |       0 |       1 |       1 |  0.021 |   16.35 |   15.24 |   14.86 |   14.69 |   14.47 |   0.55 |   0.65 |   0.65 |   0.95 |   1.05 | 0.089 | 0.068 | 0.048 | 0.035 | 0.026 | 0.66 |  11.80 | 22.32 | 20.99 | 20.21 | 19.88 | 19.60 |  22.97 |  22.08 |  21.58 |  21.40 |  21.18 |  24.38 |  23.74 |  23.38 |  23.16 |  22.95 |  16.38 |  15.27 |  14.88 |  14.70 |  14.49 |      21.44 |      19.97 |      19.54 |      18.98 |      19.09 |  0.10 |  0.09 |  0.09 |  0.08 |   0.09 |  0.16 |  0.17 |  0.16 |  0.15 |  0.15 |  0.30 |  0.33 |  0.32 |  0.32 |  0.32 |   0.36 |   0.42 |   0.44 |   0.45 |   0.44 |  2.83 |  2.99 |  3.12 |  3.18 |  3.21 |   -0.1298 |   -0.0415 |   -0.0296 |   -0.0189 |   -0.0207 |   14.99 |   15.49 |    0.90 |    0.80 | 0.004 | 0.003 | 0.66 |  11.80 |  20.41 |  21.04 |   21.85 |   22.42 |   23.84 |   24.50 |   15.04 |   15.56 |       19.87 |       20.41 |  0.11 |  0.11 |   0.19 |   0.19 |   0.38 |   0.40 |    0.49 |    0.47 |   3.03 |   3.15 |    -0.0383 |    -0.0582 |    5 |    5 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  57 |     4 |       0 |     7 |                                                                                                     
     70 |   0.2338 |  20.3380 | 107.1780 | -40.9837 | 313.2487 |  17.7662 |  6800.0 |  7039.7 |   1.78 | 0.14 |      110.0 |        5.8 |              Sc            |    1 |       1 |       1 |       1 |  0.078 |   16.74 |   15.41 |   14.66 |   14.25 |   13.85 |   1.75 |   1.85 |   1.90 |   1.85 |   2.05 | 0.338 | 0.257 | 0.180 | 0.134 | 0.100 | 0.08 | 110.00 | 22.62 | 21.55 | 20.30 | 19.72 | 19.08 |  24.20 |  22.73 |  21.86 |  21.32 |  20.85 |   0.00 |  25.05 |  24.32 |  23.72 |  23.28 |  16.93 |  15.49 |  14.68 |  14.27 |  13.87 |      21.99 |      20.11 |      19.79 |      19.32 |      19.60 |  0.31 |  0.25 |  0.27 |  0.26 |   0.31 |  0.61 |  0.55 |  0.51 |  0.48 |  0.46 |  1.22 |  1.11 |  1.09 |  1.02 |  1.03 |   0.98 |   1.26 |   1.49 |   1.49 |   1.53 |  2.75 |  2.87 |  3.10 |  3.22 |  3.43 |   -0.1988 |   -0.0463 |   -0.0358 |   -0.0248 |   -0.0310 |   13.55 |   14.08 |    1.90 |    1.80 | 0.015 | 0.012 | 0.14 | 110.00 |  19.48 |  20.07 |   20.78 |   21.34 |   23.71 |   23.95 |   13.57 |   14.12 |       19.30 |       19.29 |  0.27 |  0.23 |   0.43 |   0.43 |   1.01 |   0.98 |    1.55 |    1.36 |   3.18 |   3.10 |    -0.0244 |    -0.0243 |    5 |    5 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  90 |     1 |       0 |     7 |                                                                                                     
     76 |   0.2454 |  28.9115 | 109.8058 | -32.6709 | 322.1726 |  19.1316 |  6920.0 |  7182.8 |   1.26 | 0.40 |       44.5 |        3.0 |              Sb            |    1 |       1 |       1 |       1 |  0.049 |   15.87 |   14.39 |   13.65 |   13.26 |   12.98 |   1.30 |   1.35 |   1.35 |   1.35 |   1.30 | 0.214 | 0.162 | 0.114 | 0.084 | 0.063 | 0.45 |  43.80 | 21.19 | 19.26 | 18.34 | 17.83 | 17.51 |  24.12 |  22.30 |  21.41 |  20.96 |  20.55 |  26.00 |  24.52 |  23.79 |  23.46 |  22.94 |  16.05 |  14.45 |  13.69 |  13.28 |  13.00 |      22.84 |      20.58 |      19.65 |      19.29 |      18.77 |  0.27 |  0.18 |  0.17 |  0.17 |   0.15 |  0.34 |  0.29 |  0.27 |  0.26 |  0.25 |  0.71 |  0.67 |  0.64 |  0.64 |  0.60 |   0.64 |   0.80 |   0.88 |   0.96 |   0.99 |  3.40 |  4.10 |  4.48 |  4.66 |  4.68 |   -0.3821 |   -0.0666 |   -0.0323 |   -0.0242 |   -0.0159 |   13.21 |   13.77 |    1.90 |    1.90 | 0.009 | 0.007 | 0.47 |  43.80 |  18.94 |  19.73 |   21.02 |   21.73 |   24.14 |   24.88 |   13.26 |   13.84 |       19.38 |       20.14 |  0.18 |  0.20 |   0.30 |   0.32 |   0.78 |   0.85 |    1.06 |    1.00 |   3.61 |   3.57 |    -0.0260 |    -0.0474 |    5 |    5 |     |     |     |     |     |     |     |     |   M |     |     |                                                  another tiny galaxy at the outer edge of the galaxy |  68 |     4 |       0 |     8 |                                                                                                     
     83 |   0.2771 |  32.3781 | 110.7530 | -29.3006 | 325.8211 |  19.5396 |   542.0 |   812.5 |   0.46 | 0.43 |       45.0 |        7.5 |                            |    1 |       1 |       1 |       0 |  0.052 |   17.83 |   16.82 |   16.47 |   16.28 |   16.13 |   1.20 |   0.70 |   1.20 |   1.15 |   1.28 | 0.226 | 0.172 | 0.121 | 0.089 | 0.067 | 0.33 |  41.50 | 23.39 | 22.67 | 22.54 | 22.48 | 22.47 |  23.93 |  22.95 |  22.57 |  22.35 |  22.18 |  26.79 |  24.94 |  24.61 |  24.50 |  24.11 |  18.01 |  16.89 |  16.53 |  16.33 |  16.18 |      21.53 |      20.39 |      19.85 |      19.73 |      19.19 |  0.09 |  0.08 |  0.08 |  0.08 |   0.07 |  0.18 |  0.19 |  0.19 |  0.19 |  0.19 |  0.38 |  0.35 |  0.35 |  0.36 |  0.34 |   0.31 |   0.39 |   0.42 |   0.44 |   0.44 |  2.55 |  2.43 |  2.33 |  2.30 |  2.23 |   -0.1388 |   -0.0577 |   -0.0375 |   -0.0342 |   -0.0223 |    0.00 |    0.00 |    0.00 |    0.00 | 0.000 | 0.000 | 0.00 |   0.00 |   0.00 |   0.00 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |        0.00 |        0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |    0.00 |    0.00 |   0.00 |   0.00 |     0.0000 |     0.0000 |    5 |    0 |     |     |     |     |     |     |     |     |   M |     |     |                                     semms like two galaxies overlapping, another galaxy in ~1 arcmin |   0 |     0 |       1 |     2 |                                                                                  [bad_TF] [multiple]
     92 |   0.3123 |  13.1125 | 104.5148 | -47.9564 | 305.8667 |  16.2222 |  5376.0 |  5591.8 |   0.51 | 0.37 |       45.0 |        5.5 |                            |    1 |       1 |       1 |       0 |  0.081 |   17.52 |   16.39 |   15.84 |   15.51 |   15.26 |   0.50 |   0.85 |   1.25 |   1.30 |   1.05 | 0.351 | 0.267 | 0.187 | 0.139 | 0.103 | 0.34 |  51.10 | 22.09 | 20.86 | 20.35 | 20.07 | 19.80 |  23.50 |  22.44 |  21.96 |  21.84 |  21.70 |  25.59 |  24.84 |  24.41 |  24.92 |  25.68 |  17.65 |  16.46 |  15.89 |  15.61 |  15.37 |      20.68 |      20.41 |      19.95 |      20.01 |      20.62 |  0.07 |  0.09 |  0.09 |  0.10 |   0.14 |  0.15 |  0.16 |  0.16 |  0.17 |  0.18 |  0.32 |  0.35 |  0.37 |  0.46 |  0.50 |   0.30 |   0.41 |   0.47 |   0.51 |   0.49 |  2.98 |  3.29 |  3.33 |  3.70 |  3.85 |   -0.0720 |   -0.0582 |   -0.0407 |   -0.0429 |   -0.0687 |    0.00 |    0.00 |    0.00 |    0.00 | 0.000 | 0.000 | 0.00 |   0.00 |   0.00 |   0.00 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |        0.00 |        0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |    0.00 |    0.00 |   0.00 |   0.00 |     0.0000 |     0.0000 |    5 |    0 |     |     |     |     |     |     |     |     |   M |     |     |                                                                   another huge galaxy in ~0.5 arcmin |  80 |     3 |       0 |     3 |                                                                                                     
     94 |   0.5038 |  80.6417 | 120.8356 |  17.9718 |  16.8900 |  17.6394 |  4104.0 |  4373.1 |   1.07 | 0.12 |       53.5 |        6.1 |              Sc            |    0 |       0 |       0 |       1 |  0.000 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |    0.0000 |    0.0000 |    0.0000 |    0.0000 |    0.0000 |   15.82 |   16.49 |    1.40 |    0.70 | 0.036 | 0.028 | 0.29 |  53.50 |  21.87 |  22.52 |   23.16 |   23.64 |   25.32 |   25.08 |   15.92 |   16.55 |       21.10 |       21.36 |  0.17 |  0.16 |   0.32 |   0.30 |   0.68 |   0.55 |    0.71 |    0.61 |   3.03 |   2.69 |    -0.0995 |    -0.1221 |    0 |    4 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  90 |     1 |       0 |     5 |                                                                                                     
     96 |   0.2846 |   6.3372 | 101.1200 | -54.3900 | 299.0300 |  14.6400 | 14747.0 | 14937.5 |   1.07 | 0.37 |      154.5 |        4.0 |             Sbc            |    1 |       1 |       1 |       0 |  0.046 |   16.72 |   15.18 |   14.45 |   13.99 |   13.71 |   1.05 |   1.30 |   1.25 |   1.30 |   2.10 | 0.198 | 0.151 | 0.106 | 0.078 | 0.058 | 0.26 | 154.50 | 21.94 | 19.95 | 18.90 | 18.32 | 17.82 |  23.86 |  22.40 |  21.52 |  21.01 |  20.48 |  25.67 |  24.45 |  23.63 |  23.36 |  22.74 |  16.85 |  15.24 |  14.49 |  14.01 |  13.71 |      21.31 |      20.05 |      19.19 |      18.92 |      18.45 |  0.14 |  0.15 |  0.14 |  0.14 |   0.13 |  0.32 |  0.30 |  0.26 |  0.25 |  0.23 |  0.58 |  0.61 |  0.57 |  0.58 |  0.52 |   0.56 |   0.71 |   0.77 |   0.95 |   0.91 |  2.77 |  3.41 |  3.77 |  4.00 |  4.07 |   -0.1170 |   -0.0442 |   -0.0224 |   -0.0180 |   -0.0124 |    0.00 |    0.00 |    0.00 |    0.00 | 0.000 | 0.000 | 0.00 |   0.00 |   0.00 |   0.00 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |        0.00 |        0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |    0.00 |    0.00 |   0.00 |   0.00 |     0.0000 |     0.0000 |    5 |    0 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  81 |     3 |       0 |     5 |                                                                                                     
    102 |   0.3325 |  34.5257 | 111.3396 | -27.2155 | 328.0931 |  19.7275 |  5032.0 |  5306.7 |   1.66 | 0.27 |        4.0 |        2.0 |             Sab            |    1 |       1 |       1 |       1 |  0.072 |   15.85 |   14.28 |   13.45 |   13.02 |   12.71 |   2.15 |   2.05 |   2.15 |   2.40 |   2.20 | 0.312 | 0.237 | 0.166 | 0.123 | 0.092 | 0.25 |   4.00 | 21.17 | 18.92 | 17.63 | 17.06 | 16.60 |  24.09 |  22.52 |  21.52 |  20.91 |  20.37 |  26.06 |  24.89 |  24.10 |  23.57 |  23.13 |  16.07 |  14.35 |  13.49 |  13.04 |  12.74 |      22.55 |      20.93 |      20.20 |      19.71 |      19.32 |  0.31 |  0.28 |  0.27 |  0.26 |   0.25 |  0.43 |  0.38 |  0.33 |  0.30 |  0.27 |  0.96 |  1.01 |  0.99 |  0.93 |  0.87 |   0.77 |   1.15 |   1.33 |   1.44 |   1.35 |  4.19 |  5.60 |  6.56 |  6.80 |  6.70 |   -0.3067 |   -0.0874 |   -0.0494 |   -0.0338 |   -0.0248 |   12.85 |   13.45 |    2.50 |    2.50 | 0.014 | 0.011 | 0.27 |   4.00 |  18.04 |  18.85 |   20.42 |   21.12 |   23.68 |   24.22 |   12.88 |   13.50 |       19.45 |       19.91 |  0.26 |  0.25 |   0.33 |   0.34 |   0.96 |   0.98 |    1.47 |    1.34 |   4.38 |   4.26 |    -0.0274 |    -0.0396 |    5 |    5 |     |     |     |     |     |     |     |     |     |     |     |                                                                                                      |  82 |     3 |       0 |     7 |                                                                                                     
    110 |   0.3675 |   5.3889 | 100.6982 | -55.3111 | 298.1063 |  14.3187 |  3974.0 |  4160.6 |   0.91 | 1.00 |       45.0 |        9.0 |             SBm            |    1 |       1 |       1 |       0 |  0.045 |   16.49 |   15.55 |   15.16 |   15.01 |   14.88 |   1.00 |   0.75 |   0.70 |   0.70 |   0.75 | 0.194 | 0.148 | 0.104 | 0.077 | 0.057 | 0.98 |  79.10 | 23.66 | 22.18 | 21.73 | 21.48 | 21.58 |  24.86 |  23.93 |  23.54 |  23.33 |  23.09 |  26.78 |  25.40 |  25.05 |  24.91 |  24.60 |  16.73 |  15.66 |  15.24 |  15.07 |  14.89 |      23.56 |      21.72 |      20.86 |      20.56 |      20.50 |  0.26 |  0.15 |  0.13 |  0.12 |   0.12 |  0.30 |  0.28 |  0.27 |  0.26 |  0.25 |  0.50 |  0.48 |  0.48 |  0.47 |  0.45 |   0.42 |   0.48 |   0.52 |   0.53 |   0.56 |  2.49 |  2.72 |  2.84 |  2.92 |  2.84 |   -0.6831 |   -0.1615 |   -0.0826 |   -0.0658 |   -0.0625 |    0.00 |    0.00 |    0.00 |    0.00 | 0.000 | 0.000 | 0.00 |   0.00 |   0.00 |   0.00 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |        0.00 |        0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |    0.00 |    0.00 |   0.00 |   0.00 |     0.0000 |     0.0000 |    5 |    0 |     |     |     |   F |     |     |     |     |     |     |     |                                                                                                      |   0 |     0 |       1 |     1 |                                                                                   [bad_TF] [face_on]
    112 |   0.3754 |  31.4419 | 110.6068 | -30.2318 | 324.8458 |  19.3459 |  4768.0 |  5036.3 |   1.20 | 0.54 |       20.1 |        4.1 |            SABb            |    1 |       1 |       1 |       0 |  0.053 |   15.43 |   13.75 |   13.00 |   12.55 |   12.35 |   1.05 |   2.25 |   2.50 |   2.45 |   2.45 | 0.232 | 0.177 | 0.124 | 0.092 | 0.068 | 0.74 |  24.00 | 19.59 | 17.59 | 16.53 | 16.02 | 15.67 |  23.66 |  22.66 |  21.61 |  21.30 |  20.49 |  25.73 |  26.16 |  25.38 |  25.18 |  24.23 |  15.55 |  13.96 |  13.11 |  12.64 |  12.39 |      23.05 |      20.25 |      20.57 |      20.71 |      20.45 |  0.28 |  0.15 |  0.20 |  0.26 |   0.26 |  0.23 |  0.27 |  0.23 |  0.23 |  0.19 |  0.54 |  1.08 |  1.03 |  1.12 |  0.90 |   0.53 |   0.70 |   1.06 |   1.26 |   1.27 |  4.91 |  7.70 |  8.69 | 10.03 |  9.91 |   -0.4509 |   -0.0514 |   -0.0659 |   -0.0735 |   -0.0601 |    0.00 |    0.00 |    0.00 |    0.00 | 0.000 | 0.000 | 0.00 |   0.00 |   0.00 |   0.00 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |    0.00 |        0.00 |        0.00 |  0.00 |  0.00 |   0.00 |   0.00 |   0.00 |   0.00 |    0.00 |    0.00 |   0.00 |   0.00 |     0.0000 |     0.0000 |    3 |    0 |     |     |     |     |     |     |     |     |   M |     |     |                                                                                                      |   0 |     0 |       1 |     1 |                                                            [interacting] [disturbed] [HI] [multiple]
